City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
kaeo,20,NZ,1554147484,96,-35.1,173.78,60.01,10.8
bredasdorp,80,ZA,1554148327,95,-34.53,20.04,62.44,9.01
carnarvon,0,ZA,1554148111,35,-30.97,22.13,48.94,12.37
lasa,40,CY,1554147978,87,34.92,32.53,55.4,2.24
dunedin,0,NZ,1554148298,66,-45.87,170.5,48.99,11.01
rikitea,0,PF,1554148328,100,-23.12,-134.97,76.48,15.39
port augusta,0,AU,1554148016,87,-32.49,137.76,57.0,5.82
caravelas,12,BR,1554148328,100,-17.73,-39.27,80.98,12.15
nazarovo,12,RU,1554148328,73,56.01,90.42,18.25,2.98
butaritari,56,KI,1554148328,100,3.07,172.79,83.5,11.25
honningsvag,75,NO,1554146400,74,70.98,25.97,30.2,13.87
yellowknife,40,CA,1554148190,57,62.45,-114.38,21.2,23.04
cancun,40,MX,1554147770,62,21.17,-86.85,86.0,17.22
khatanga,80,RU,1554148243,92,71.98,102.47,28.69,11.88
codrington,40,AU,1554148066,93,-28.95,153.24,62.6,4.32
erdenet,68,MN,1554148329,67,49.03,104.04,25.99,2.53
saint-philippe,1,CA,1554148323,37,45.36,-73.48,37.0,8.05
zhezkazgan,0,KZ,1554148330,76,47.8,67.71,27.79,2.98
san quintin,0,PH,1554148330,82,17.54,120.52,67.57,3.6
tasiilaq,90,GL,1554144600,68,65.61,-37.64,24.8,9.17
correntina,80,BR,1554148330,52,-13.34,-44.63,83.41,5.99
victoria,75,BN,1554145200,88,5.28,115.24,77.0,1.12
lorengau,88,PG,1554148293,97,-2.02,147.27,83.23,10.87
provideniya,24,RU,1554148331,100,64.42,-173.23,28.24,10.92
sabang,64,PH,1554148331,88,13.72,123.58,76.57,9.53
yozgat,88,TR,1554148331,96,39.82,34.81,38.59,2.75
flinders,0,AU,1554148298,93,-34.58,150.85,57.0,8.05
moerai,80,PF,1554148331,100,-22.43,-151.33,78.37,20.6
sherbakul,0,RU,1554145200,87,54.63,72.39,32.0,8.95
kavieng,76,PG,1554148200,100,-2.57,150.8,83.68,10.58
lagoa,20,PT,1554148028,77,37.14,-8.45,61.0,13.87
ahipara,48,NZ,1554148048,96,-35.17,173.16,65.68,12.82
ribeira grande,40,PT,1554147000,71,38.52,-28.7,57.2,16.11
dikson,80,RU,1554148283,99,73.51,80.55,26.8,24.63
namibe,8,AO,1554148290,94,-15.19,12.15,80.98,14.94
srednekolymsk,48,RU,1554148100,82,67.46,153.71,9.79,3.38
port hueneme,1,US,1554148210,27,34.15,-119.2,82.99,11.41
busselton,24,AU,1554147986,63,-33.64,115.35,64.0,8.01
borogontsy,32,RU,1554148333,68,62.67,131.17,9.34,4.72
mitsamiouli,20,KM,1554145200,88,-11.38,43.28,78.8,4.7
constitucion,5,MX,1554148216,10,23.99,-104.67,77.0,3.36
hermanus,12,ZA,1554147985,66,-34.42,19.24,57.0,8.99
raytown,40,US,1554148500,37,39.01,-94.46,57.0,8.05
riyadh,44,SA,1554145200,32,24.63,46.72,66.2,5.82
katobu,56,ID,1554148334,100,-4.94,122.53,80.71,5.77
sur,0,OM,1554148334,77,22.57,59.53,80.53,6.06
isangel,80,VU,1554148334,100,-19.55,169.27,79.9,12.77
hambantota,0,LK,1554148335,100,6.12,81.12,80.8,5.28
garissa,88,KE,1554148395,56,-0.46,39.64,85.12,9.64
ishigaki,64,JP,1554148395,100,24.34,124.16,69.46,18.92
lodwar,32,KE,1554148395,53,3.12,35.6,79.72,6.33
am timan,0,TD,1554148396,20,11.04,20.28,81.88,9.57
